Id,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient
111,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0
114,5.0,2.727272727272727,28.433333333333334,0.15
115,5.0,2.1875,267.4166666666667,0.007894737
116,6.0,3.0588235294117645,37.0,0.0
117,6.0,3.0,32.666666666666664,0.05
118,0.0,0.0,0.0,0.33333334
119,5.0,2.65,22.43333333333333,0.05357143
120,0.0,0.0,0.0,0.0
121,29.0,5.930718288334182,53.333333333333336,0.0123152705
122,9.0,5.258741258741258,20.0,0.01923077
123,0.0,0.0,0.0,0.0
124,28.0,5.2088639836984205,1425.2166666666667,0.004059406
125,8.0,4.785992217898833,61.666666666666664,0.0116959065
126,7.0,3.5618729096989967,402.83333333333337,0.0022132797
127,19.0,8.683794466403162,244.0,0.0
128,1.0,1.0,14.0,0.0
129,8.0,3.6875,48.0,0.0
130,21.0,6.093385214007782,95.37896825396825,0.0
131,2.0,1.5,2.0,0.0
132,9.0,5.166666666666667,56.0,0.0
133,18.0,6.764267990074441,96.0,0.0046153846
134,9.0,5.428571428571429,34.0,0.0
135,6.0,3.5555555555555554,45.0,0.0
136,6.0,4.254901960784314,45.66666666666667,0.0
137,12.0,5.943589743589744,78.0,0.0
138,5.0,2.642857142857143,44.5,0.011111111
139,5.0,2.823529411764706,21.0,0.035714287
140,5.0,3.1785714285714284,4.0,0.16666667
141,6.0,4.068965517241379,70.0,0.0
142,6.0,4.384615384615385,52.0,0.0
143,6.0,4.0344827586206895,35.0,0.0
144,0.0,0.0,0.0,0.0
145,3.0,2.7,38.0,0.0
146,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0
148,5.0,3.259259259259259,27.0,0.0
149,14.0,7.293333333333333,328.0,0.0
150,5.0,3.1785714285714284,30.0,0.0
151,15.0,6.928571428571429,103.0,0.0
152,16.0,6.1103896103896105,331.5,0.0
153,15.0,6.0476190476190474,279.0,0.0
154,12.0,7.609756097560975,335.0,0.0
155,13.0,8.428571428571429,302.0,0.0
156,5.0,3.0,51.0,0.06666667
157,5.0,2.736842105263158,47.5,0.013888889
158,3.0,2.9069767441860463,242.5,0.0
159,4.0,3.7777777777777777,209.5,0.0
160,4.0,2.5,20.0,0.0
161,7.0,4.9,9.0,0.0
162,1.0,1.0,32.0,0.0
163,5.0,3.259259259259259,80.33333333333334,0.0
164,6.0,3.78125,71.33333333333334,0.0
165,3.0,2.35,110.5,0.0
166,4.0,2.88,115.5,0.0
167,5.0,3.5714285714285716,102.5,0.0
168,2.0,1.9285714285714286,88.5,0.0
169,5.0,3.0,20.0,0.0
170,5.0,3.259259259259259,66.0,0.0
171,6.0,4.448275862068965,77.5,0.0
172,17.0,6.308510638297872,286.5,0.0
173,6.0,4.0344827586206895,37.0,0.0
174,7.0,4.774193548387097,16.0,0.0
175,17.0,10.057142857142857,140.0,0.0
176,16.0,9.90625,160.0,0.0
177,11.0,6.954545454545454,86.0,0.0
178,5.0,3.1785714285714284,7.0,0.16666667
179,2.0,1.9523809523809523,278.5,0.0
180,5.0,3.259259259259259,20.0,0.0
181,6.0,3.2857142857142856,41.0,0.0
182,18.0,10.513513513513514,111.0,0.0
183,7.0,4.75,36.0,0.0
184,5.0,2.6666666666666665,58.0,0.0
185,12.0,7.6521739130434785,67.0,0.0
186,2.0,1.8888888888888888,43.0,0.0
187,5.0,3.0,73.5,0.0
188,5.0,3.103448275862069,39.0,0.0
189,6.0,4.0,15.0,0.0
190,1.0,1.0,24.0,0.0
191,2.0,1.5,46.0,0.0
192,3.0,2.0,66.0,0.0
193,2.0,1.7333333333333334,372.0,0.033333335
194,3.0,2.5294117647058822,374.0,0.0
195,6.0,4.0344827586206895,76.0,0.0
196,7.0,4.9,51.0,0.0
197,8.0,5.454545454545454,30.0,0.0
198,5.0,3.259259259259259,93.0,0.0
199,5.0,3.1785714285714284,80.0,0.0
200,6.0,3.870967741935484,64.0,0.0
201,3.0,2.8205128205128207,115.0,0.0
202,9.0,4.777777777777778,17.166666666666664,0.0
